,company
1017,51675032
1018,33506
1019,11724771
1020,15106709
1021,15106709
1022,2547561
1023,3362679
1024,18196973
1025,6430125
1026,17961408
1027,165742
1028,605507
1029,1111822
1030,3328160
1031,3328160
1032,214442
1033,15080424
1034,14975
1035,166859
1036,38085928
1037,5907569
1038,5907569
1039,18759592
1040,163457
1041,1358598
1042,166824
1043,8988
1044,134444
1045,6814211
1046,23213889
1047,4815
1048,18364551
1049,98241
1050,162797
1051,9665
1052,166740
1053,4815
1054,50274
1055,4472
1056,2559165
1057,140256
1058,13383
1059,14230
1060,2226655
1061,2735919
1062,9277885
1063,15094947
1064,740537
1065,374065
1066,1069814
1067,14692
1068,11550894
1069,11550894
1070,166698
1071,166698
1072,214442
1073,1069814
1074,5536
1075,18196973
1076,27139
1077,7938746
1078,9473271
1079,3603608
1080,36737480
1081,17992
1082,18876597
1083,5536
1084,2515234
1085,5050421
1086,10494210
1087,10494210
1088,1069127
1089,166626
1090,1569435
1091,9280
1092,1062168
1093,1266575
1094,23327513
1095,23275068
1096,43589
1097,201760
1098,3271533
1099,3271533
1100,10854739
1101,29287596
1102,66724384
1103,5536
1104,1523089
1105,47223
1106,47223
1107,1225398
1108,2854935
1109,869560
1110,69565255
1111,1413784
1112,45548
1113,45548
1114,7093953
1115,18196973
1116,2571368
1117,3140117
1118,14421732
1119,6451760
1120,1579105
1121,5077
1122,40958961
1123,25278279
1124,12577073
1125,33598
1126,11521185
1127,11486158
1128,9289
1129,2043990
1130,26193
1131,74137
1132,457324
1133,687472
1134,22617408
1135,13166
1136,79324818
1137,9280353
1138,5272565
1139,10913393
1140,11486158
1141,13026367
1142,5106
1143,203652
1144,9297365
1145,1564852
1146,17908204
1147,42023
1148,2656096
1149,745754
1150,17908204
1151,24028177
1152,25446
1153,74137
1154,2515234
1155,2515234
1156,3551273
1157,4316
1158,2011563
1159,43589
1160,15106709
1161,6657715
1162,166038
1163,207470
1164,404429
1165,404429
1166,211148
1167,45548
1168,1929421
1169,2953212
1170,15516
1171,15516
1172,687472
1173,687472
1174,4815
1175,4815
1176,9483526
1177,3105130
1178,18196973
1179,18196973
1180,18196973
1181,285447
1182,1523089
1183,88460244
1184,82223965
1185,675376
1186,15101191
1187,2440822
1188,2440822
1189,2440822
1190,2157
1191,285447
1192,29016753
1193,2011563
1194,134444
1195,2400587
1196,17908204
1197,17908204
1198,72327
1199,166766
1200,30347
1201,17908204
1202,235570
1203,10169278
1204,3517623
1205,18805999
1206,166626
1207,3348114
1208,134444
1209,18805907
1210,18805907
1211,9277885
1212,9277885
1213,18196973
1214,18196973
1215,10537522
1216,1262869
1217,15096521
1218,252502
1219,10180429
1220,14420429
1221,214442
1222,1598299
1223,1598299
1224,1598299
1225,3108432
1226,2471358
1227,3108432
1228,6390843
1229,125113
1230,111120
1231,2363231
1232,29287596
1233,66724384
1234,10935136
1235,9665
1236,17908204
1237,22728343
1238,1092713
1239,1092713
1240,15233437
1241,483182
1242,2043990
1243,3314898
1244,4371
1245,10983986
1246,10595881
1247,6386877
1248,217544
1249,1336735
1250,3361862
1251,11486158
1252,11486158
1253,11486158
1254,15102021
1255,18196973
1256,5376809
1257,5376809
1258,153167
1259,153167
1260,72327
1261,166766
1262,214442
1263,166740
1264,166740
1265,17908204
1266,28423178
1267,283218
1268,167231
1269,277459
1270,26102036
1271,11191469
1272,18328216
1273,17908204
1274,1564852
1275,1069814
1276,162559
1277,5627812
1278,4851811
1279,4851811
1280,9382628
1281,11235168
1282,9192565
1283,17908204
1284,17908204
1285,3752905
1286,570870
1287,2498391
1288,26071
1289,26071
1290,585873
1291,3238625
1292,3238625
1293,13666637
1294,18196973
1295,28992583
1296,18108926
1297,20480535
1298,2688219
1299,51670996
1300,18006149
1301,17908204
