"employee_id","connection_count"
"t_187",326
"t_188",500
"t_189",239
"t_190",500
"t_191",399
"t_192",500
"t_193",500
"t_194",500
"t_195",500
"t_196",269
"t_197",500
"t_198",500
"t_199",327
"t_200",500
"t_201",500
"t_202",500
"t_203",500
"t_204",500
"t_205",500
"t_206",500
"t_207",500
"t_208",500
"t_209",500
"t_210",322
"t_211",500
"t_212",500
"t_213",493
"t_214",173
"t_215",500
"t_216",106
"t_217",500
"t_218",400
"t_219",500
"t_220",357
"t_221",500
"t_222",500
"t_223",321
"t_224",500
"t_225",500
"t_226",500
"t_227",500
"t_228",500
"t_229",500
"t_230",500
"t_231",500
"t_232",85
"t_233",500
"t_234",500
"t_235",500
"t_236",500
"t_237",269
"t_238",500
"t_239",221
"t_240",500
"t_241",500
"t_242",500
"t_243",281
"t_244",222
"t_245",500
"t_246",500
"t_247",500
"t_248",369
"t_249",374
"t_250",500
"t_251",392
"t_252",500
"t_253",500
"t_254",56
"t_255",500
"t_256",500
"t_257",135
"t_258",500
"t_259",500
"t_260",500
"t_261",500
"t_262",154
"t_263",305
"t_264",263
"t_265",249
"t_266",500
"t_267",280
"t_268",500
"t_269",500
"t_270",314
"t_271",479
"t_272",500
"t_273",500
"t_274",363
"t_275",500
"t_276",500
"t_277",104
"t_278",500
"t_279",500
"t_280",500
"t_281",473
"t_282",500
"t_283",500
"t_284",500
"t_285",500
"t_286",500
"t_287",500
"t_288",NA
"t_289",230
"t_290",500
"t_291",500
"t_292",500
"t_293",131
"t_294",206
"t_295",213
"t_296",228
"t_297",500
"t_298",500
"t_299",335
"t_300",341
"t_301",500
"t_302",500
"t_303",500
"t_304",492
"t_305",500
"t_306",302
"t_307",500
"t_308",500
"t_309",500
"t_310",216
"t_311",500
"t_312",455
"t_313",500
"t_314",125
"t_315",500
"t_316",500
"t_317",500
"t_318",221
"t_319",425
"t_320",349
"t_321",500
"t_322",500
"t_323",321
"t_324",462
"t_325",500
"t_326",407
"t_327",119
"t_328",295
"t_329",185
"t_330",500
"t_331",240
"t_332",500
"t_333",500
"t_334",500
"t_335",500
"t_336",472
"t_337",500
"t_338",352
"t_339",500
"t_340",500
"t_341",500
"t_342",500
"t_343",500
"t_344",500
"t_345",500
"t_346",456
"t_347",500
"t_348",500
"t_349",279
"t_350",500
"t_351",500
"t_352",500
"t_353",312
"t_354",500
"t_355",334
"t_356",447
"t_357",500
"t_358",279
"t_359",205
"t_360",410
"t_361",500
"t_362",500
"t_363",500
"t_364",284
"t_365",500
"t_366",500
"t_367",251
"t_368",500
"t_369",500
"t_370",226
"t_371",500
"t_372",450
"t_373",500
"t_374",500
"t_375",500
"t_376",97
"t_377",210
"t_378",162
"t_379",269
"t_380",466
"t_381",375
"t_382",500
"t_383",500
"t_384",500
"t_385",500
"t_386",284
"t_387",256
"t_388",353
"t_389",500
"t_390",500
"t_391",340
"t_392",500
"t_393",309
"t_394",450
"t_395",500
"t_396",444
"t_397",500
"t_398",316
"t_399",500
"t_400",500
"t_401",500
"t_402",233
"t_403",187
"t_404",125
"t_405",500
"t_406",500
"t_407",398
"t_408",124
"t_409",213
"t_410",406
"t_411",63
"t_412",119
"t_413",500
"t_414",136
"t_415",93
"t_416",500
"t_417",500
"t_418",360
"t_419",500
"t_420",500
"t_421",52
"t_422",500
"t_423",500
"t_424",500
"t_425",500
"t_426",500
"t_427",500
"t_428",329
"t_429",285
"t_430",36
"t_431",158
"t_432",442
"t_433",500
"t_434",498
"t_435",500
"t_436",298
"t_437",129
"t_438",500
"t_439",351
"t_440",500
"t_441",87
"t_442",21
"t_443",367
"t_444",500
"t_445",230
"t_446",500
"t_447",500
"t_448",291
"t_449",500
"t_450",54
"t_451",95
"t_452",391
"t_453",500
"t_454",500
"t_455",441
"t_456",500
"t_457",500
"t_458",120
"t_459",500
"t_460",500
"t_461",428
"t_462",500
"t_463",90
"t_464",121
"t_465",487
"t_466",416
"t_467",343
"t_468",431
"t_469",500
"t_470",431
"t_471",429
"t_472",172
"t_473",500
"t_474",500
"t_475",294
"t_476",324
"t_477",56
"t_478",465
"t_479",363
"t_480",130
"t_481",500
"t_482",104
"t_483",324
"t_484",273
"t_485",169
"t_486",370
"t_487",500
"t_488",256
"t_489",178
"t_490",500
"t_491",90
"t_492",149
"t_493",309
"t_494",357
"t_495",500
"t_496",500
"t_497",500
"t_498",431
"t_499",355
"t_500",191
"t_501",479
"t_502",71
"t_503",76
"t_504",500
"t_505",95
"t_506",476
"t_507",364
"t_508",360
"t_509",500
"t_510",192
"t_511",298
"t_512",124
"t_513",145
"t_514",230
"t_515",99
"t_516",500
"t_517",120
"t_518",500
"t_519",285
"t_520",500
"t_521",430
"t_522",468
"t_523",451
"t_524",500
"t_525",161
"t_526",355
"t_527",500
"t_528",180
"t_529",500
"t_530",500
"t_531",500
"t_532",500
"t_533",157
"t_534",264
"t_535",500
"t_536",327
"t_537",500
"t_538",500
"t_539",158
"t_540",339
"t_541",500
"t_542",187
"t_543",397
"t_544",293
"t_545",500
"t_546",500
"t_547",389
"t_548",294
"t_549",153
"t_550",225
"t_551",248
"t_552",500
"t_553",500
"t_554",500
"t_555",378
"t_556",500
"t_557",353
"t_558",500
"t_559",225
"t_560",500
"t_561",87
"t_562",500
"t_563",199
"t_564",500
"t_565",97
"t_566",500
"t_567",110
"t_568",197
"t_569",286
"t_570",500
"t_571",500
"t_572",500
"t_573",113
"t_574",400
"t_575",185
"t_576",500
"t_577",500
"t_578",360
"t_579",336
"t_580",500
"t_581",500
"t_582",48
"t_583",237
"t_584",500
"t_585",217
"t_586",500
"t_587",321
"t_588",500
"t_589",500
"t_590",242
"t_591",178
"t_592",500
"t_593",500
"t_594",361
"t_595",500
"t_596",500
"t_597",268
"t_598",500
"t_599",500
"t_600",500
"t_601",191
"t_602",12
"t_603",500
"t_604",500
"t_605",242
"t_606",500
"t_607",500
"t_608",277
"t_609",402
"t_610",213
"t_611",495
"t_612",500
"t_613",205
"t_614",52
"t_615",500
"t_616",274
"t_617",151
"t_618",500
"t_619",500
"t_620",209
"t_621",210
"t_622",500
"t_623",67
"t_624",500
"t_625",281
"t_626",297
"t_627",232
"t_628",289
"t_629",321
"t_630",359
"t_631",488
"t_632",357
"t_633",279
"t_634",500
"t_635",500
"t_636",429
"t_637",500
"t_638",459
"t_639",326
"t_640",500
"t_641",181
"t_642",112
"t_643",221
"t_644",500
"t_645",500
"t_646",500
"t_647",168
"t_648",500
"t_649",500
"t_650",239
"t_651",447
"t_652",500
"t_653",186
"t_654",235
"t_655",500
"t_656",500
"t_657",162
"t_658",500
"t_659",500
"t_660",322
"t_661",118
"t_662",500
"t_663",500
"t_664",435
"t_665",321
"t_666",500
"t_667",500
"t_668",500
"t_669",500
"t_670",500
"t_671",177
"t_672",140
"t_673",312
"t_674",500
"t_675",288
"t_676",306
"t_677",500
"t_678",500
"t_679",500
"t_680",207
"t_681",331
"t_682",350
"t_683",475
"t_684",500
"t_685",439
"t_686",115
"t_687",270
"t_688",363
"t_689",407
"t_690",182
"t_691",204
"t_692",500
"t_693",500
"t_694",500
"t_695",308
"t_696",162
"t_697",500
"t_698",115
"t_699",500
"t_700",390
"t_701",500
"t_702",407
"t_703",500
"t_704",342
"t_705",500
"t_706",172
"t_707",500
"t_708",161
"t_709",500
"t_710",500
"t_711",500
"t_712",500
"t_713",500
"t_714",500
"t_715",70
"t_716",383
"t_717",76
"t_718",211
"t_719",500
"t_720",500
"t_721",177
"t_722",372
"t_723",160
"t_724",338
"t_725",500
"t_726",391
"t_727",360
"t_728",500
"t_729",500
"t_730",500
"t_731",482
"t_732",216
"t_733",500
"t_734",500
"t_735",389
"t_736",377
"t_737",194
"t_738",499
"t_739",479
"t_740",500
"t_741",500
"t_742",488
"t_743",433
"t_744",387
"t_745",313
"t_746",271
"t_747",356
"t_748",321
"t_749",500
"t_750",500
"t_751",289
"t_752",459
"t_753",316
"t_754",500
"t_755",174
"t_756",59
"t_757",138
"t_758",158
"t_759",173
"t_760",292
"t_761",500
"t_762",210
"t_763",432
"t_764",500
"t_765",376
"t_766",500
"t_767",500
"t_768",134
"t_769",500
"t_770",183
"t_771",136
"t_772",500
"t_773",500
"t_774",179
"t_775",213
"t_776",500
"t_777",500
"t_778",445
"t_779",450
"t_780",361
"t_781",500
"t_782",290
"t_783",418
"t_784",227
"t_785",500
"t_786",500
"t_787",240
"t_788",500
"t_789",500
"t_790",249
"t_791",500
"t_792",231
"t_793",79
"t_794",249
"t_795",500
"t_796",400
"t_797",500
"t_798",500
"t_799",500
"t_800",500
"t_801",58
"t_802",500
"t_803",500
"t_804",472
"t_805",139
"t_806",82
"t_807",206
"t_808",500
"t_809",500
"t_810",144
"t_811",500
"t_812",76
"t_813",222
"t_814",263
"t_815",122
"t_816",348
"t_817",500
"t_818",500
"t_819",500
"t_820",500
"t_821",442
"t_822",295
"t_823",116
"t_824",382
"t_825",500
"t_826",500
"t_827",78
"t_828",151
"t_829",266
"t_830",273
"t_831",374
"t_832",437
"t_833",240
"t_834",244
"t_835",278
"t_836",435
"t_837",442
"t_838",240
"t_839",500
"t_840",500
"t_841",169
"t_842",133
"t_843",131
"t_844",105
"t_845",231
"t_846",163
"t_847",500
"t_848",161
"t_849",271
"t_850",351
"t_851",500
"t_852",500
"t_853",500
"t_854",500
"t_855",312
"t_856",165
"t_857",500
"t_858",83
"t_859",500
"t_860",242
"t_861",127
"t_862",348
"t_863",500
"t_864",500
"t_865",174
"t_866",454
"t_867",350
"t_868",500
"t_869",212
"t_870",165
"t_871",500
"t_872",500
"t_873",500
"t_874",500
"t_875",500
"t_876",500
"t_877",500
"t_878",500
"t_879",500
"t_880",500
"t_881",500
"t_882",371
"t_883",252
"t_884",197
"t_885",243
"t_886",312
"t_887",307
"t_888",198
"t_889",410
"t_890",357
"t_891",500
"t_892",457
"t_893",110
"t_894",500
"t_895",156
"t_896",341
"t_897",440
"t_898",458
"t_899",500
"t_900",500
"t_901",85
"t_902",500
"t_903",500
"t_904",500
"t_905",500
"t_906",168
"t_907",500
"t_908",500
"t_909",104
"t_910",161
"t_911",500
"t_912",500
"t_913",500
"t_914",119
"t_915",458
"t_916",500
"t_917",408
"t_918",500
"t_919",153
"t_920",223
"t_921",500
"t_922",500
"t_923",170
"t_924",500
"t_925",255
"t_926",318
"t_927",500
"t_928",500
"t_929",16
"t_930",388
"t_931",500
"t_932",500
"t_933",165
"t_934",313
"t_935",313
"t_936",376
"t_937",500
"t_938",438
"t_939",362
"t_940",500
"t_941",258
"t_942",274
"t_943",185
"t_944",331
"t_945",157
"t_946",500
"t_947",257
"t_948",500
"t_949",500
"t_950",201
"t_951",144
"t_952",500
"t_953",140
"t_954",171
"t_955",500
"t_956",231
"t_957",381
"t_958",500
"t_959",72
"t_960",114
"t_961",274
"t_962",500
"t_963",332
"t_964",22
"t_965",500
"t_966",500
"t_967",500
"t_968",500
"t_969",216
"t_970",361
"t_971",500
"t_972",325
"t_973",500
"t_974",500
"t_975",122
"t_976",399
"t_977",500
"t_978",399
"t_979",500
"t_980",500
"t_981",404
"t_982",230
"t_983",108
"t_984",500
"t_985",349
"t_986",10
"t_987",500
"t_988",143
"t_989",500
"t_990",474
"t_991",92
"t_992",500
"t_993",500
"t_994",500
"t_995",500
"t_996",500
"t_997",386
"t_998",243
"t_999",194
"t_1000",500
"t_1001",54
"t_1002",282
"t_1003",401
"t_1004",159
"t_1005",486
"t_1006",500
"t_1007",212
"t_1008",395
"t_1009",500
"t_1010",500
"t_1011",500
"t_1012",211
"t_1013",127
"t_1014",286
"t_1015",90
"t_1016",125
"t_1017",200
"t_1018",174
"t_1019",217
"t_1020",500
"t_1021",500
"t_1022",404
"t_1023",122
"t_1024",500
"t_1025",337
"t_1026",320
"t_1027",500
"t_1028",268
"t_1029",22
"t_1030",500
"t_1031",500
"t_1032",145
"t_1033",160
"t_1034",58
"t_1035",500
"t_1036",351
"t_1037",130
"t_1038",277
"t_1039",159
"t_1040",500
"t_1041",500
"t_1042",500
"t_1043",32
"t_1044",500
"t_1045",290
"t_1046",438
"t_1047",500
"t_1048",54
"t_1049",279
"t_1050",334
"t_1051",500
"t_1052",102
"t_1053",150
"t_1054",500
"t_1055",500
"t_1056",349
"t_1057",331
"t_1058",183
"t_1059",442
"t_1060",68
"t_1061",169
"t_1062",500
"t_1063",173
"t_1064",265
"t_1065",157
"t_1066",406
"t_1067",500
"t_1068",500
"t_1069",473
"t_1070",500
"t_1071",494
"t_1072",500
"t_1073",132
"t_1074",381
"t_1075",500
"t_1076",500
"t_1077",98
"t_1078",500
"t_1079",500
"t_1080",500
"t_1081",390
"t_1082",500
"t_1083",500
"t_1084",500
"t_1085",500
"t_1086",500
"t_1087",500
"t_1088",500
"t_1089",121
"t_1090",428
"t_1091",312
"t_1092",190
"t_1093",453
"t_1094",190
"t_1095",500
"t_1096",500
"t_1097",68
"t_1098",198
"t_1099",139
"t_1100",323
"t_1101",500
"t_1102",90
"t_1103",500
"t_1104",500
"t_1105",500
"t_1106",124
"t_1107",500
"t_1108",500
"t_1109",432
"t_1110",500
"t_1111",500
"t_1112",304
"t_1113",349
"t_1114",500
"t_1115",500
"t_1116",69
"t_1117",280
"t_1118",500
"t_1119",397
"t_1120",406
"t_1121",500
"t_1122",265
"t_1123",500
"t_1124",457
"t_1125",500
"t_1126",500
"t_1127",500
"t_1128",500
"t_1129",262
"t_1130",500
"t_1131",367
"t_1132",500
"t_1133",500
"t_1134",72
"t_1135",199
"t_1136",500
"t_1137",500
"t_1138",381
"t_1139",500
"t_1140",259
"t_1141",500
"t_1142",448
"t_1143",500
"t_1144",150
"t_1145",500
"t_1146",170
"t_1147",500
"t_1148",428
"t_1149",500
"t_1150",344
"t_1151",84
"t_1152",374
"t_1153",308
"t_1154",368
"t_1155",500
"t_1156",277
"t_1157",294
"t_1158",417
"t_1159",500
"t_1160",35
"t_1161",500
"t_1162",149
"t_1163",500
"t_1164",447
"t_1165",355
"t_1166",500
"t_1167",297
"t_1168",500
"t_1169",111
"t_1170",482
"t_1171",500
"t_1172",500
"t_1173",203
"t_1174",161
"t_1175",500
"t_1176",304
"t_1177",500
"t_1178",463
"t_1179",500
"t_1180",500
"t_1181",500
"t_1182",500
"t_1183",500
"t_1184",500
"t_1185",148
"t_1186",171
"t_1187",500
"t_1188",291
"t_1189",500
"t_1190",500
"t_1191",38
"t_1192",213
"t_1193",157
"t_1194",299
"t_1195",400
"t_1196",132
"t_1197",102
"t_1198",90
"t_1199",500
"t_1200",142
"t_1201",500
"t_1202",316
"t_1203",500
"t_1204",226
"t_1205",250
"t_1206",500
"t_1207",500
"t_1208",47
"t_1209",228
"t_1210",500
"t_1211",402
"t_1212",500
"t_1213",500
"t_1214",500
"t_1215",305
"t_1216",500
"t_1217",500
"t_1218",381
"t_1219",174
"t_1220",54
"t_1221",12
"t_1222",153
"t_1223",496
"t_1224",325
"t_1225",500
"t_1226",115
"t_1227",500
"t_1228",443
"t_1229",441
"t_1230",357
"t_1231",500
"t_1232",500
"t_1233",402
"t_1234",229
"t_1235",171
"t_1236",296
"t_1237",500
"t_1238",364
"t_1239",48
"t_1240",74
"t_1241",166
"t_1242",341
"t_1243",109
"t_1244",224
"t_1245",500
"t_1246",500
"t_1247",500
"t_1248",500
"t_1249",188
"t_1250",500
"t_1251",321
"t_1252",301
"t_1253",175
"t_1254",128
"t_1255",474
"t_1256",500
"t_1257",370
"t_1258",68
"t_1259",475
"t_1260",137
"t_1261",422
"t_1262",500
"t_1263",279
"t_1264",311
"t_1265",301
"t_1266",256
"t_1267",500
"t_1268",349
"t_1269",394
"t_1270",121
"t_1271",242
"t_1272",500
"t_1273",188
"t_1274",105
"t_1275",500
"t_1276",500
"t_1277",188
"t_1278",341
"t_1279",500
"t_1280",500
"t_1281",20
"t_1282",235
"t_1283",500
"t_1284",500
"t_1285",170
"t_1286",500
"t_1287",500
"t_1288",43
"t_1289",363
"t_1290",244
"t_1291",500
"t_1292",500
"t_1293",243
"t_1294",450
"t_1295",46
"t_1296",500
"t_1297",129
"t_1298",277
"t_1299",411
"t_1300",500
"t_1301",339
"t_1302",500
"t_1303",178
"t_1304",109
"t_1305",274
"t_1306",18
"t_1307",149
"t_1308",500
"t_1309",233
"t_1310",500
"t_1311",500
"t_1312",500
"t_1313",55
"t_1314",402
"t_1315",120
"t_1316",500
"t_1317",500
"t_1318",500
"t_1319",500
"t_1320",108
"t_1321",500
"t_1322",79
"t_1323",500
"t_1324",500
"t_1325",210
"t_1326",83
"t_1327",183
"t_1328",190
"t_1329",500
"t_1330",500
"t_1331",177
"t_1332",112
"t_1333",173
"t_1334",500
"t_1335",208
"t_1336",64
"t_1337",20
"t_1338",500
"t_1339",323
"t_1340",500
"t_1341",245
"t_1342",123
"t_1343",500
"t_1344",143
"t_1345",179
"t_1346",165
"t_1347",127
"t_1348",500
"t_1349",500
"t_1350",500
"t_1351",500
"t_1352",34
"t_1353",123
"t_1354",81
"t_1355",231
"t_1356",379
"t_1357",500
"t_1358",500
"t_1359",500
"t_1360",500
"t_1361",500
"t_1362",500
"t_1363",500
"t_1364",353
"t_1365",500
"t_1366",295
"t_1367",500
"t_1368",348
"t_1369",119
"t_1370",500
"t_1371",416
"t_1372",500
"t_1373",500
"t_1374",110
"t_1375",225
"t_1376",168
"t_1377",151
"t_1378",110
"t_1379",500
"t_1380",500
"t_1381",500
"t_1382",500
"t_1383",370
"t_1384",500
"t_1385",500
"t_1386",500
"t_1387",439
"t_1388",441
"t_1389",500
"t_1390",207
"t_1391",98
"t_1392",500
"t_1393",500
"t_1394",156
"t_1395",383
"t_1396",257
"t_1397",96
"t_1398",174
"t_1399",159
"t_1400",420
"t_1401",464
"t_1402",500
"t_1403",282
"t_1404",189
"t_1405",200
"t_1406",500
"t_1407",369
"t_1408",500
"t_1409",500
"t_1410",93
"t_1411",308
"t_1412",500
"t_1413",45
"t_1414",500
"t_1415",406
"t_1416",500
"t_1417",500
"t_1418",333
"t_1419",208
"t_1420",500
"t_1421",172
"t_1422",374
"t_1423",303
"t_1424",91
"t_1425",500
"t_1426",387
"t_1427",500
"t_1428",215
"t_1429",222
"t_1430",500
"t_1431",500
"t_1432",500
"t_1433",488
"t_1434",178
"t_1435",242
"t_1436",500
"t_1437",383
"t_1438",264
"t_1439",500
"t_1440",202
"t_1441",474
"t_1442",500
"t_1443",330
"t_1444",500
"t_1445",500
"t_1446",500
"t_1447",402
"t_1448",330
"t_1449",500
"t_1450",500
"t_1451",386
"t_1452",500
"t_1453",500
"t_1454",276
"t_1455",269
"t_1456",236
"t_1457",405
"t_1458",425
"t_1459",500
"t_1460",500
"t_1461",500
"t_1462",69
"t_1463",317
"t_1464",92
"t_1465",500
"t_1466",456
"t_1467",353
"t_1468",500
"t_1469",500
"t_1470",500
"t_1471",382
"t_1472",500
"t_1473",500
"t_1474",500
"t_1475",183
"t_1476",395
"t_1477",500
"t_1478",160
"t_1479",123
"t_1480",406
"t_1481",500
"t_1482",500
"t_1483",137
"t_1484",247
"t_1485",100
"t_1486",380
"t_1487",380
"t_1488",177
"t_1489",500
"t_1490",500
"t_1491",399
"t_1492",500
"t_1493",207
"t_1494",500
"t_1495",189
"t_1496",162
"t_1497",178
"t_1498",436
"t_1499",500
"t_1500",500
"t_1501",282
"t_1502",500
"t_1503",163
"t_1504",215
"t_1505",500
"t_1506",500
"t_1507",209
"t_1508",95
"t_1509",500
"t_1510",198
"t_1511",123
"t_1512",243
"t_1513",154
"t_1514",500
"t_1515",500
"t_1516",500
"t_1517",261
"t_1518",174
"t_1519",500
"t_1520",500
"t_1521",276
"t_1522",178
"t_1523",500
"t_1524",500
"t_1525",17
"t_1526",343
"t_1527",322
"t_1528",250
"t_1529",53
"t_1530",500
"t_1531",500
"t_1532",500
"t_1533",500
"t_1534",442
"t_1535",500
"t_1536",247
"t_1537",495
"t_1538",229
"t_1539",333
"t_1540",308
"t_1541",500
"t_1542",500
"t_1543",500
"t_1544",65
"t_1545",48
"t_1546",489
"t_1547",195
"t_1548",378
"t_1549",500
"t_1550",500
"t_1551",500
"t_1552",179
"t_1553",500
"t_1554",500
"t_1555",314
"t_1556",212
"t_1557",479
"t_1558",200
"t_1559",381
"t_1560",500
"t_1561",500
"t_1562",500
"t_1563",75
"t_1564",496
"t_1565",467
"t_1566",408
"t_1567",443
"t_1568",437
"t_1569",500
"t_1570",265
"t_1571",500
"t_1572",500
"t_1573",500
"t_1574",500
"t_1575",500
"t_1576",500
"t_1577",500
"t_1578",500
"t_1579",500
"t_1580",500
"t_1581",376
"t_1582",500
"t_1583",500
"t_1584",500
"t_1585",204
"t_1586",500
"t_1587",275
"t_1588",272
"t_1589",500
"t_1590",191
"t_1591",500
"t_1592",387
"t_1593",500
"t_1594",500
"t_1595",187
"t_1596",433
"t_1597",500
"t_1598",500
"t_1599",488
"t_1600",154
"t_1601",500
"t_1602",500
"t_1603",213
"t_1604",500
"t_1605",500
"t_1606",411
"t_1607",374
"t_1608",268
"t_1609",204
"t_1610",500
"t_1611",228
"t_1612",500
"t_1613",139
"t_1614",500
"t_1615",389
"t_1616",149
"t_1617",260
"t_1618",500
"t_1619",364
"t_1620",124
"t_1621",500
"t_1622",67
"t_1623",205
"t_1624",96
"t_1625",75
"t_1626",500
"t_1627",267
"t_1628",355
"t_1629",232
"t_1630",209
"t_1631",90
"t_1632",128
"t_1633",131
"t_1634",414
"t_1635",500
"t_1636",500
"t_1637",441
"t_1638",90
"t_1639",113
"t_1640",500
"t_1641",500
"t_1642",468
"t_1643",387
"t_1644",500
"t_1645",324
"t_1646",500
"t_1647",500
"t_1648",500
"t_1649",500
"t_1650",500
"t_1651",500
"t_1652",246
"t_1653",500
"t_1654",500
"t_1655",468
"t_1656",500
"t_1657",327
"t_1658",467
"t_1659",493
"t_1660",500
"t_1661",500
"t_1662",122
"t_1663",500
"t_1664",500
"t_1665",353
"t_1666",307
"t_1667",96
"t_1668",190
"t_1669",500
"t_1670",500
"t_1671",500
"t_1672",279
"t_1673",234
"t_1674",500
"t_1675",500
"t_1676",285
"t_1677",500
"t_1678",357
"t_1679",500
"t_1680",291
"t_1681",288
"t_1682",500
"t_1683",209
"t_1684",500
"t_1685",500
"t_1686",500
"t_1687",500
"t_1688",247
"t_1689",500
"t_1690",500
"t_1691",209
"t_1692",500
"t_1693",370
"t_1694",500
"t_1695",467
"t_1696",500
"t_1697",179
"t_1698",500
"t_1699",500
"t_1700",138
"t_1701",500
"t_1702",500
"t_1703",427
"t_1704",231
"t_1705",500
"t_1706",500
"t_1707",140
"t_1708",497
"t_1709",500
"t_1710",500
"t_1711",500
"t_1712",500
"t_1713",500
"t_1714",500
"t_1715",500
"t_1716",149
"t_1717",500
"t_1718",203
"t_1719",500
"t_1720",500
"t_1721",500
"t_1722",500
"t_1723",500
"t_1724",500
"t_1725",500
"t_1726",128
"t_1727",500
"t_1728",500
"t_1729",500
"t_1730",218
"t_1731",500
"t_1732",166
"t_1733",235
"t_1734",500
"t_1735",75
"t_1736",432
"t_1737",157
"t_1738",294
"t_1739",153
"t_1740",500
"t_1741",500
"t_1742",500
"t_1743",77
"t_1744",382
"t_1745",500
"t_1746",500
"t_1747",117
"t_1748",500
"t_1749",439
"t_1750",113
"t_1751",272
"t_1752",500
"t_1753",500
"t_1754",159
"t_1755",146
"t_1756",485
"t_1757",147
"t_1758",181
"t_1759",207
"t_1760",53
"t_1761",500
"t_1762",162
"t_1763",246
"t_1764",281
"t_1765",500
"t_1766",349
"t_1767",81
"t_1768",429
"t_1769",275
"t_1770",172
"t_1771",154
"t_1772",422
"t_1773",189
"t_1774",500
"t_1775",500
"t_1776",500
"t_1777",436
"t_1778",500
"t_1779",170
"t_1780",381
"t_1781",500
"t_1782",500
"t_1783",500
"t_1784",500
"t_1785",217
"t_1786",223
"t_1787",384
"t_1788",106
"t_1789",282
"t_1790",500
"t_1791",228
"t_1792",380
"t_1793",258
"t_1794",250
"t_1795",223
"t_1796",451
"t_1797",500
"t_1798",500
"t_1799",500
"t_1800",500
"t_1801",500
"t_1802",500
"t_1803",500
"t_1804",418
"t_1805",250
"t_1806",321
"t_1807",500
"t_1808",478
"t_1809",500
"t_1810",68
"t_1811",305
"t_1812",500
"t_1813",37
"t_1814",147
"t_1815",236
"t_1816",500
"t_1817",500
"t_1818",77
"t_1819",169
"t_1820",361
"t_1821",186
"t_1822",208
"t_1823",500
"t_1824",495
"t_1825",500
"t_1826",500
"t_1827",440
"t_1828",500
"t_1829",402
"t_1830",500
"t_1831",500
"t_1832",183
"t_1833",124
"t_1834",500
"t_1835",500
"t_1836",500
"t_1837",241
"t_1838",500
"t_1839",500
"t_1840",500
"t_1841",500
"t_1842",475
"t_1843",307
"t_1844",500
"t_1845",500
"t_1846",500
"t_1847",159
"t_1848",489
"t_1849",500
"t_1850",21
"t_1851",54
"t_1852",311
"t_1853",312
"t_1854",500
"t_1855",299
"t_1856",500
"t_1857",231
"t_1858",61
"t_1859",423
"t_1860",500
"t_1861",183
"t_1862",500
"t_1863",500
"t_1864",328
"t_1865",407
"t_1866",500
"t_1867",262
"t_1868",500
"t_1869",101
"t_1870",500
"t_1871",500
