"employee_id","promote_level_1","promote_level_2","time_work","promote_general","intern","num_job","num_company"
"t_465",0,0,685,0,1,3,3
"t_466",0,0,78,0,0,1,1
"t_467",0,0,1873,0,0,2,2
"t_468",0,0,123,0,0,1,1
"t_469",1,0,3120,1,0,4,3
"t_471",0,0,1050,0,0,2,2
"t_472",0,0,3638,0,0,3,3
"t_473",1,1,2573,1,0,5,5
"t_474",0,0,2664,0,0,3,3
"t_476",0,0,1645,0,0,3,3
"t_477",0,0,1934,0,0,3,2
"t_478",0,0,1203,0,1,3,3
"t_479",0,0,1416,0,0,3,2
"t_480",0,0,1294,0,0,1,1
"t_482",0,0,1386,0,0,1,1
"t_483",0,0,473,0,0,1,1
"t_484",0,0,412,0,0,1,1
"t_485",0,0,504,0,0,1,1
"t_486",0,0,351,0,1,1,1
"t_487",0,0,1508,0,0,2,2
"t_488",0,0,1843,0,0,4,4
"t_489",0,0,624,0,0,1,1
"t_490",0,0,791,0,0,1,1
"t_491",0,0,259,0,0,1,1
"t_492",0,0,897,0,0,3,2
"t_493",0,0,4108,0,0,4,3
"t_494",0,0,NA,0,0,4,4
"t_495",0,0,3151,0,0,2,2
"t_496",0,0,1142,0,0,1,1
"t_497",0,0,1203,0,1,1,1
"t_499",0,0,1781,0,0,2,2
"t_500",0,0,928,0,0,1,1
"t_501",0,1,2495,1,0,1,1
"t_502",0,0,382,0,0,1,1
"t_503",0,0,426,0,0,1,1
"t_504",0,0,1478,0,0,3,2
"t_506",0,0,1294,0,0,2,2
"t_507",0,0,2511,0,0,4,4
"t_508",1,1,1843,1,0,3,2
"t_509",0,0,928,0,1,2,2
"t_510",0,0,1508,0,0,2,1
"t_511",0,0,1294,0,0,1,1
"t_513",0,0,259,0,0,1,1
"t_515",0,0,0,0,0,1,1
"t_516",0,0,4034,0,0,3,3
"t_517",0,0,4522,0,0,5,2
"t_518",0,0,1447,0,0,5,4
"t_519",0,0,122,0,0,1,1
"t_520",0,0,2238,0,1,4,4
"t_521",0,0,5617,0,0,3,3
"t_522",0,0,1050,0,1,2,2
"t_523",0,1,3426,1,0,2,2
"t_524",1,0,1447,1,0,2,1
"t_525",0,0,214,0,0,1,1
"t_526",0,1,11247,1,0,4,4
"t_527",0,0,1050,0,1,3,3
"t_529",1,1,2481,1,0,3,3
"t_530",0,0,1965,0,0,4,4
"t_531",1,0,3638,1,0,3,3
"t_534",0,1,3638,1,0,2,2
"t_535",0,0,912,0,1,1,1
"t_536",0,0,259,0,1,2,2
"t_537",0,0,730,0,0,3,2
"t_538",0,0,1294,0,0,2,2
"t_539",0,0,1583,0,0,1,1
"t_540",0,0,1416,0,0,1,1
"t_541",0,0,2177,0,0,3,2
"t_542",0,0,731,0,0,1,1
"t_543",0,0,2420,0,0,5,5
"t_544",0,0,212,0,0,1,1
"t_545",0,0,274,0,0,1,1
"t_546",0,0,1050,0,0,2,2
"t_547",0,0,1812,0,0,1,1
"t_548",0,0,2146,0,0,5,5
"t_549",0,1,1781,1,0,3,3
"t_550",0,0,883,0,0,1,1
"t_551",0,0,5007,0,0,2,2
"t_552",1,1,1386,1,0,3,1
"t_553",0,0,396,0,0,2,2
"t_554",0,0,1081,0,1,2,2
"t_555",0,0,305,0,0,1,1
"t_556",0,0,1873,0,1,1,1
"t_557",0,0,1965,0,0,4,2
"t_558",0,0,1294,0,0,2,2
"t_559",0,0,2755,0,0,1,1
"t_561",0,0,4230,0,0,2,2
"t_562",0,0,139,0,0,1,1
"t_563",0,1,2269,1,0,2,2
"t_564",0,0,1569,0,0,2,1
"t_565",0,0,2208,0,0,4,2
"t_566",0,0,1843,0,0,2,2
"t_567",0,0,2208,0,0,2,2
"t_568",0,0,3334,0,0,1,1
"t_569",0,0,1142,0,0,4,3
"t_570",0,0,290,0,0,1,1
"t_571",0,1,2208,1,0,3,3
"t_572",0,0,1569,0,0,2,2
"t_573",0,0,320,0,0,1,1
"t_574",0,0,6833,0,0,5,5
"t_576",1,0,2542,1,0,4,3
"t_577",0,0,838,0,0,2,2
"t_578",0,0,1416,0,0,2,2
"t_579",0,0,1112,0,0,2,2
"t_580",0,0,532,0,0,2,2
"t_582",0,0,1081,0,0,4,4
"t_583",0,0,989,0,0,1,1
"t_584",0,0,838,0,0,1,1
"t_585",0,1,2830,1,0,2,2
"t_586",1,1,2603,1,0,2,2
"t_587",0,0,1659,0,0,1,1
"t_588",0,0,1812,0,0,2,2
"t_589",0,0,1812,0,0,3,2
"t_590",0,0,1703,0,0,2,2
"t_591",1,0,NA,1,0,3,2
"t_592",0,0,213,0,0,1,1
"t_593",0,0,3089,0,0,2,2
"t_594",0,0,3242,0,0,2,2
